type,alt,territories
uk,,UA
uk,secondary,RS
umb,secondary,AO
und,secondary,"AQ BV CP GS HM"
unr,secondary,IN
ur,,PK
ur,secondary,IN
uz,,UZ
uz,secondary,AF
ve,secondary,ZA
vi,,VN
vi,secondary,US
vls,secondary,BE
vmf,secondary,DE
vmw,secondary,MZ
wal,secondary,ET
war,secondary,PH
wbq,secondary,IN
wbr,secondary,IN
wls,secondary,WF
wni,,KM
wo,,SN
wtm,secondary,IN
wuu,secondary,CN
xh,secondary,ZA
xnr,secondary,IN
xog,secondary,UG
yo,,NG
za,secondary,CN
zdj,,KM
zgh,secondary,MA
zh,,"CN HK MO SG TW"
zh,secondary,"ID MY TH US"
zu,secondary,ZA
zza,secondary,TR
